"renda_cat","capital","anos_estudo_cat","genero","anos_estudo","idade","raca_cor"
"Menor que R$3300","N","Até 8","F",3,65,"negra"
"Menor que R$3300","N","9 a 12","M",11,32,"negra"
"Menor que R$3300","N","9 a 12","M",11,33,"negra"
"Menor que R$3300","N","Mais de 12","M",15,30,"branca"
"Menor que R$3300","N","Mais de 12","F",15,25,"branca"
"Menor que R$3300","N","9 a 12","M",11,46,"negra"
"Menor que R$3300","N","Mais de 12","F",15,26,"negra"
"Menor que R$3300","N","Até 8","M",8,36,"negra"
"Menor que R$3300","N","9 a 12","M",10,42,"negra"
"Menor que R$3300","N","9 a 12","F",10,48,"branca"
"Menor que R$3300","N","9 a 12","M",11,22,"negra"
"Menor que R$3300","N","Mais de 12","M",15,46,"branca"
"Menor que R$3300","N","Mais de 12","F",15,43,"branca"
"Menor que R$3300","N","9 a 12","F",11,19,"branca"
"Menor que R$3300","N","Mais de 12","F",15,53,"negra"
"Menor que R$3300","N","9 a 12","M",11,51,"branca"
"Menor que R$3300","S","9 a 12","M",11,37,"branca"
"Maior que R$3300","S","Mais de 12","F",15,33,"branca"
"Maior que R$3300","S","Até 8","M",8,69,"negra"
"Menor que R$3300","S","Até 8","M",6,43,"branca"
"Menor que R$3300","S","Mais de 12","M",15,35,"branca"
"Maior que R$3300","S","Mais de 12","M",15,38,"negra"
"Menor que R$3300","S","Mais de 12","M",15,83,"negra"
"Menor que R$3300","S","Mais de 12","F",15,48,"negra"
"Menor que R$3300","S","Até 8","F",8,52,"branca"
"Menor que R$3300","S","Mais de 12","M",15,50,"branca"
"Maior que R$3300","S","Mais de 12","M",15,45,"branca"
"Maior que R$3300","S","Mais de 12","F",15,41,"negra"
"Menor que R$3300","S","Mais de 12","F",15,34,"negra"
"Maior que R$3300","S","Mais de 12","M",13,34,"negra"
"Menor que R$3300","S","Mais de 12","F",15,47,"branca"
"Maior que R$3300","S","9 a 12","M",11,57,"branca"
"Menor que R$3300","N","9 a 12","M",11,57,"negra"
"Menor que R$3300","N","Até 8","F",0,56,"branca"
"Menor que R$3300","N","9 a 12","M",11,18,"negra"
"Menor que R$3300","N","Até 8","F",0,54,"negra"
"Menor que R$3300","N","9 a 12","M",11,47,"negra"
"Menor que R$3300","N","Mais de 12","F",15,38,"negra"
"Menor que R$3300","N","9 a 12","M",11,34,"branca"
"Menor que R$3300","N","Até 8","M",0,50,"negra"
"Maior que R$3300","N","Mais de 12","F",14,32,"branca"
"Maior que R$3300","N","9 a 12","M",11,45,"branca"
"Menor que R$3300","N","Até 8","M",0,59,"negra"
"Menor que R$3300","N","Até 8","F",0,38,"branca"
"Menor que R$3300","N","9 a 12","M",10,17,"branca"
"Menor que R$3300","N","9 a 12","M",11,38,"negra"
"Menor que R$3300","N","Até 8","F",8,38,"negra"
"Menor que R$3300","N","9 a 12","M",11,38,"negra"
"Menor que R$3300","N","Até 8","F",8,43,"negra"
"Menor que R$3300","N","Até 8","M",8,34,"negra"
"Menor que R$3300","N","9 a 12","F",11,42,"negra"
"Menor que R$3300","N","9 a 12","M",12,33,"negra"
"Menor que R$3300","N","Até 8","M",8,55,"negra"
"Menor que R$3300","N","Até 8","F",0,58,"branca"
"Menor que R$3300","N","Até 8","F",7,39,"negra"
"Menor que R$3300","N","Até 8","M",6,38,"branca"
"Menor que R$3300","N","9 a 12","F",11,23,"negra"
"Menor que R$3300","N","Até 8","M",0,57,"negra"
"Menor que R$3300","N","Até 8","M",5,32,"negra"
"Menor que R$3300","N","Até 8","M",8,28,"negra"
"Menor que R$3300","N","Até 8","M",8,28,"negra"
"Menor que R$3300","N","Até 8","M",5,27,"negra"
"Menor que R$3300","N","Mais de 12","M",15,26,"negra"
"Menor que R$3300","N","9 a 12","F",11,39,"negra"
"Menor que R$3300","N","Mais de 12","F",14,19,"negra"
"Menor que R$3300","N","Até 8","M",8,52,"branca"
"Menor que R$3300","N","9 a 12","M",11,26,"negra"
"Menor que R$3300","N","9 a 12","M",11,27,"negra"
"Menor que R$3300","N","9 a 12","F",9,20,"negra"
"Menor que R$3300","N","Até 8","M",3,64,"negra"
"Menor que R$3300","N","Até 8","M",4,43,"negra"
"Menor que R$3300","N","Mais de 12","F",15,42,"branca"
"Menor que R$3300","N","Mais de 12","F",13,22,"branca"
"Menor que R$3300","N","9 a 12","M",11,31,"negra"
"Menor que R$3300","N","9 a 12","F",11,34,"negra"
"Menor que R$3300","N","Até 8","M",8,42,"negra"
"Menor que R$3300","N","Até 8","F",8,34,"negra"
"Menor que R$3300","N","Até 8","M",6,37,"negra"
"Menor que R$3300","N","Até 8","M",0,62,"branca"
"Menor que R$3300","N","Até 8","M",0,43,"negra"
"Menor que R$3300","N","9 a 12","M",11,26,"negra"
"Menor que R$3300","N","Até 8","M",8,60,"negra"
"Menor que R$3300","N","Até 8","M",7,35,"negra"
"Menor que R$3300","N","Até 8","M",4,66,"negra"
"Menor que R$3300","N","Até 8","M",3,50,"negra"
"Menor que R$3300","N","9 a 12","M",11,27,"negra"
"Menor que R$3300","N","Até 8","M",1,40,"negra"
"Menor que R$3300","N","Até 8","M",6,37,"negra"
"Menor que R$3300","N","Até 8","F",8,33,"branca"
"Maior que R$3300","N","Até 8","M",8,42,"negra"
"Menor que R$3300","N","9 a 12","F",11,22,"branca"
"Menor que R$3300","N","Até 8","M",8,25,"negra"
"Menor que R$3300","N","Até 8","M",5,26,"negra"
"Menor que R$3300","N","Até 8","M",2,64,"negra"
"Maior que R$3300","N","Até 8","M",5,50,"branca"
"Menor que R$3300","N","Até 8","M",4,45,"negra"
"Menor que R$3300","N","Até 8","M",0,35,"branca"
"Menor que R$3300","N","Até 8","F",8,23,"negra"
"Menor que R$3300","N","Até 8","M",8,56,"branca"
"Menor que R$3300","N","Até 8","M",1,40,"branca"
"Menor que R$3300","N","Até 8","M",2,50,"branca"
"Menor que R$3300","N","9 a 12","M",11,62,"branca"
"Maior que R$3300","N","Até 8","M",4,78,"branca"
"Menor que R$3300","N","9 a 12","M",11,62,"branca"
"Maior que R$3300","N","Mais de 12","F",15,58,"branca"
"Maior que R$3300","N","Mais de 12","M",15,30,"negra"
"Maior que R$3300","N","Mais de 12","F",15,32,"branca"
"Maior que R$3300","N","Mais de 12","M",15,41,"negra"
"Maior que R$3300","N","Mais de 12","M",15,37,"branca"
"Maior que R$3300","N","Mais de 12","F",15,50,"negra"
"Maior que R$3300","N","Mais de 12","M",15,50,"branca"
"Menor que R$3300","N","Mais de 12","F",13,21,"branca"
"Maior que R$3300","N","Mais de 12","F",15,37,"negra"
"Maior que R$3300","N","Mais de 12","M",15,42,"branca"
"Maior que R$3300","N","Mais de 12","M",15,69,"branca"
"Maior que R$3300","N","Mais de 12","F",15,52,"branca"
"Maior que R$3300","N","Mais de 12","M",15,55,"branca"
"Maior que R$3300","N","9 a 12","M",11,23,"branca"
"Maior que R$3300","N","9 a 12","M",11,54,"branca"
"Menor que R$3300","N","Até 8","M",8,50,"negra"
"Menor que R$3300","N","9 a 12","M",11,41,"negra"
"Menor que R$3300","N","9 a 12","F",11,31,"branca"
"Menor que R$3300","N","9 a 12","F",11,32,"negra"
"Menor que R$3300","N","Até 8","F",4,53,"negra"
"Menor que R$3300","N","9 a 12","F",11,22,"negra"
"Menor que R$3300","N","Até 8","M",3,48,"branca"
"Menor que R$3300","N","Até 8","M",7,48,"negra"
"Menor que R$3300","N","Até 8","M",4,46,"branca"
"Menor que R$3300","N","Até 8","F",5,23,"negra"
"Menor que R$3300","N","9 a 12","M",11,33,"negra"
"Menor que R$3300","N","9 a 12","F",11,31,"negra"
"Menor que R$3300","N","Até 8","M",0,55,"negra"
"Menor que R$3300","N","Até 8","M",5,52,"branca"
"Menor que R$3300","N","9 a 12","F",11,21,"branca"
"Menor que R$3300","N","9 a 12","M",11,32,"branca"
"Menor que R$3300","N","Até 8","F",8,22,"negra"
"Menor que R$3300","N","9 a 12","F",11,51,"negra"
"Menor que R$3300","N","9 a 12","M",11,36,"branca"
"Menor que R$3300","N","Até 8","M",5,47,"negra"
"Menor que R$3300","N","Mais de 12","F",15,27,"negra"
"Menor que R$3300","N","Até 8","M",7,28,"negra"
"Menor que R$3300","N","9 a 12","F",11,35,"branca"
"Menor que R$3300","N","9 a 12","M",11,44,"negra"
"Menor que R$3300","N","9 a 12","F",11,27,"negra"
"Menor que R$3300","N","9 a 12","M",11,54,"branca"
"Menor que R$3300","N","Até 8","F",5,44,"branca"
"Menor que R$3300","N","9 a 12","F",11,20,"negra"
"Menor que R$3300","S","Até 8","F",7,28,"negra"
"Menor que R$3300","S","Até 8","M",8,34,"negra"
"Menor que R$3300","S","Até 8","F",5,24,"negra"
"Menor que R$3300","S","Até 8","M",7,25,"negra"
"Menor que R$3300","S","Mais de 12","F",14,48,"negra"
"Maior que R$3300","S","Mais de 12","M",15,42,"negra"
"Menor que R$3300","S","9 a 12","M",9,56,"negra"
"Menor que R$3300","S","9 a 12","M",12,23,"branca"
"Menor que R$3300","S","Mais de 12","F",14,26,"branca"
"Menor que R$3300","S","Até 8","M",6,21,"branca"
"Menor que R$3300","S","9 a 12","F",10,19,"branca"
"Menor que R$3300","S","9 a 12","F",11,29,"negra"
"Maior que R$3300","S","Mais de 12","M",15,42,"negra"
"Menor que R$3300","S","Mais de 12","F",13,43,"negra"
"Menor que R$3300","S","Até 8","M",8,46,"negra"
"Menor que R$3300","S","9 a 12","M",11,64,"negra"
"Menor que R$3300","S","9 a 12","F",11,68,"negra"
"Menor que R$3300","S","9 a 12","M",11,26,"negra"
"Maior que R$3300","S","Mais de 12","F",15,31,"negra"
"Menor que R$3300","N","Mais de 12","F",15,31,"branca"
"Maior que R$3300","N","9 a 12","M",11,30,"branca"
"Menor que R$3300","N","Até 8","M",4,52,"branca"
"Menor que R$3300","N","Até 8","F",8,38,"negra"
"Menor que R$3300","N","Mais de 12","M",15,46,"branca"
"Menor que R$3300","N","Mais de 12","F",13,42,"negra"
"Menor que R$3300","N","9 a 12","F",11,27,"negra"
"Menor que R$3300","N","Até 8","M",0,43,"branca"
"Menor que R$3300","N","Até 8","F",4,57,"negra"
"Menor que R$3300","N","9 a 12","F",11,30,"negra"
"Menor que R$3300","N","9 a 12","M",11,52,"branca"
"Maior que R$3300","N","Mais de 12","F",14,40,"branca"
"Menor que R$3300","N","Mais de 12","F",15,41,"branca"
"Maior que R$3300","N","9 a 12","M",9,56,"negra"
"Menor que R$3300","N","9 a 12","F",11,53,"branca"
"Menor que R$3300","N","Mais de 12","F",15,57,"negra"
"Menor que R$3300","N","Mais de 12","F",15,62,"negra"
"Menor que R$3300","N","Mais de 12","F",15,26,"negra"
"Maior que R$3300","N","9 a 12","M",9,60,"branca"
"Menor que R$3300","N","9 a 12","F",11,30,"branca"
"Menor que R$3300","N","Até 8","M",4,46,"negra"
"Menor que R$3300","N","Até 8","M",5,57,"negra"
"Menor que R$3300","N","9 a 12","F",11,59,"negra"
"Maior que R$3300","N","9 a 12","M",12,40,"branca"
"Menor que R$3300","N","9 a 12","F",12,37,"negra"
"Menor que R$3300","N","9 a 12","M",11,26,"negra"
"Menor que R$3300","N","Até 8","M",7,43,"negra"
"Menor que R$3300","N","Até 8","F",6,43,"branca"
"Menor que R$3300","N","9 a 12","M",11,32,"branca"
"Menor que R$3300","N","9 a 12","M",11,32,"negra"
"Menor que R$3300","N","9 a 12","F",11,26,"negra"
"Menor que R$3300","N","Até 8","F",6,55,"negra"
"Menor que R$3300","N","Até 8","M",3,54,"branca"
"Menor que R$3300","N","9 a 12","M",9,23,"negra"
"Maior que R$3300","N","Até 8","F",7,58,"branca"
"Menor que R$3300","N","Até 8","M",8,38,"negra"
"Menor que R$3300","N","Mais de 12","M",15,28,"branca"
