year,UF,Codmun6,code_city,life_exp,year_edu,population,hdi
1991,35,350010,3500105,68.87,10.25,31841,0.592
1991,35,350020,3500204,70.04,9.16,3272,0.513
1991,35,350030,3500303,68.14,9.89,23331,0.491
1991,35,350040,3500402,71.48,10.48,6619,0.576
1991,35,350050,3500501,70.33,10.06,10870,0.558
1991,35,350055,3500550,69.51,10.21,3781,0.559
1991,35,350060,3500600,72.08,10.26,1614,0.634
1991,35,350070,3500709,68.07,9.49,29893,0.513
1991,35,350075,3500758,66.29,8.47,3255,0.418
1991,35,350080,3500808,68.93,11.09,3481,0.55
1991,35,350090,3500907,67.02,9.44,3222,0.509
1991,35,350100,3501004,70.05,9.36,13507,0.483
1991,35,350110,3501103,68.19,10.83,4750,0.48
1991,35,350115,3501152,65.13,7.99,13701,0.515
1991,35,350120,3501202,67.21,10.83,5044,0.478
1991,35,350130,3501301,70.1,10.53,18782,0.538
1991,35,350140,3501400,66.38,8.98,3102,0.421
1991,35,350150,3501509,65.79,10.11,2532,0.461
1991,35,350160,3501608,71.09,10.24,152470,0.609
1991,35,350170,3501707,71.96,9.78,20067,0.527
1991,35,350180,3501806,67.27,10.85,5571,0.489
1991,35,350190,3501905,68.34,10,49999,0.578
1991,35,350200,3502002,69.94,9.78,2998,0.493
1991,35,350210,3502101,69.1,10.06,51718,0.56
1991,35,350220,3502200,66.43,8.34,17172,0.435
1991,35,350230,3502309,68.95,9.28,3439,0.477
1991,35,350240,3502408,69.38,9.06,3228,0.513
1991,35,350250,3502507,68.19,10.02,32378,0.569
1991,35,350260,3502606,68.52,9.54,5071,0.468
1991,35,350270,3502705,65.63,9.49,26520,0.442
1991,35,350275,3502754,65.46,7.68,9783,0.426
1991,35,350280,3502804,68.02,9.91,148206,0.59
1991,35,350290,3502903,68.31,8.99,14314,0.494
1991,35,350300,3503000,70.58,9.77,4061,0.515
1991,35,350310,3503109,64.48,9.2,5606,0.397
1991,35,350315,3503158,65.14,8.33,2640,0.373
1991,35,350320,3503208,70.12,9.88,157804,0.607
1991,35,350330,3503307,70.03,9.67,86476,0.573
1991,35,350335,3503356,66.67,7.94,2770,0.408
1991,35,350340,3503406,69,9.85,6841,0.478
1991,35,350350,3503505,63.9,8.38,3241,0.418
1991,35,350360,3503604,68.02,8.52,9935,0.433
1991,35,350370,3503703,67.27,10.22,5828,0.48
1991,35,350380,3503802,67.54,9.7,19136,0.519
1991,35,350390,3503901,70.23,8.96,36956,0.524
1991,35,350395,3503950,66.95,9.99,2122,0.434
1991,35,350400,3504008,69.52,10.29,74847,0.597
1991,35,350410,3504107,70.1,9.59,85110,0.545
1991,35,350420,3504206,67.67,10.63,12502,0.557
1991,35,350430,3504305,66.38,9.51,4589,0.421
1991,35,350440,3504404,68.93,9.4,7701,0.463
1991,35,350450,3504503,70.82,9.87,59286,0.541
1991,35,350460,3504602,67.21,9.99,5653,0.525
1991,35,350470,3504701,68.19,9.4,1221,0.536
1991,35,350480,3504800,70.92,10.11,7172,0.525
1991,35,350490,3504909,66.34,8.58,8551,0.456
1991,35,350500,3505005,65.02,10.71,2692,0.464
1991,35,350510,3505104,66.64,8.6,5333,0.43
1991,35,350520,3505203,70.57,10.02,24125,0.572
1991,35,350530,3505302,70.7,10.1,30543,0.603
1991,35,350535,3505351,63.9,8.26,4969,0.325
1991,35,350540,3505401,63.63,8.22,6688,0.318
1991,35,350550,3505500,70.23,9.73,94334,0.558
1991,35,350560,3505609,68.11,9.03,18673,0.409
1991,35,350570,3505708,69.79,9.11,131747,0.549
1991,35,350580,3505807,67.88,9.91,19098,0.516
1991,35,350590,3505906,68.95,8.99,43425,0.519
1991,35,350600,3506003,68.02,9.92,256612,0.607
1991,35,350610,3506102,70.11,10.06,67016,0.548
1991,35,350620,3506201,67.02,9.41,2397,0.54
1991,35,350630,3506300,66.36,9.81,9925,0.511
1991,35,350635,3506359,67.98,8.66,10839,0.51
1991,35,350640,3506409,70.12,11,5342,0.574
1991,35,350650,3506508,69.24,10.28,74403,0.569
1991,35,350660,3506607,65.2,9.56,17758,0.489
1991,35,350670,3506706,65.05,9.04,10435,0.415
1991,35,350680,3506805,69.84,9.82,7211,0.544
1991,35,350690,3506904,67.49,8.75,5666,0.429
1991,35,350700,3507001,68.05,10.08,22901,0.539
1991,35,350710,3507100,66.29,9.19,9796,0.445
1991,35,350715,3507159,63.9,8.03,2269,0.305
1991,35,350720,3507209,70.58,6.82,716,0.506
1991,35,350730,3507308,69.08,8.73,3443,0.47
1991,35,350740,3507407,66.25,9.73,12070,0.493
1991,35,350745,3507456,68.02,6.97,1411,0.482
1991,35,350750,3507506,68.87,9.78,90060,0.588
1991,35,350760,3507605,69.48,9.6,99008,0.553
1991,35,350770,3507704,68.28,10.51,4223,0.524
1991,35,350775,3507753,66.3,9.12,1958,0.437
1991,35,350780,3507803,69.91,9.69,13711,0.546
1991,35,350790,3507902,67.65,9.22,14329,0.491
1991,35,350800,3508009,63.54,9.35,14173,0.379
1991,35,350810,3508108,68.65,10.16,12673,0.531
1991,35,350820,3508207,68.15,11.17,3726,0.522
1991,35,350830,3508306,65.33,9.09,3792,0.448
1991,35,350840,3508405,67.49,8.58,18693,0.478
1991,35,350850,3508504,68.64,9.76,65439,0.542
1991,35,350860,3508603,70.33,9.44,23004,0.553
1991,35,350870,3508702,68.6,9.02,17137,0.456
1991,35,350880,3508801,69.75,10.23,15117,0.504
1991,35,350890,3508900,67.93,9.78,3854,0.48
1991,35,350900,3509007,68.02,9.71,39008,0.545
1991,35,350910,3509106,64.09,8.79,3341,0.435
1991,35,350920,3509205,67.74,8.54,35850,0.501
1991,35,350925,3509254,67.67,9.42,23402,0.434
1991,35,350930,3509304,67.27,9.81,8706,0.505
1991,35,350940,3509403,68.02,9.52,18285,0.514
1991,35,350945,3509452,66.23,8.84,4065,0.364
1991,35,350950,3509502,69.74,9.85,833132,0.618
1991,35,350960,3509601,67.21,9.08,45230,0.507
1991,35,350970,3509700,69.12,9.73,35849,0.507
1991,35,350980,3509809,67.84,8.25,3988,0.411
1991,35,350990,3509908,68.59,9.15,9666,0.45
1991,35,350995,3509957,65.79,8.08,2792,0.406
