Y        X
2.403335 15
2.876386 13
2.593761 15
2.551006 11
0.7275486 13
2.525729 12
2.558776 13
2.956472 12
2.701361 12
2.852439 12
3.272227 12
3.096482 13
3.563316 17
3.030617 16
2.684440 16
2.615935 15
2.398804 15
2.297573 20
2.761907 12
2.733068 14
2.951780 15
2.2895 11
2.953868 13
2.897016 11
2.271094 12
2.364620 15
1.922788 11
2.458734 12
2.509599 12
3.178054 9
2.936513 14
2.406945 13
2.542389 15
2.316488 11
1.816452 12
2.397895 14
2.228939 14
3.074081 16
2.418589 14
3.256172 17
3.507957 15
1.470176 14
2.580974 8
2.703373 15
2.663053 12
2.577942 15
2.358965 15
1.568616 13
1.701105 12
2.218116 10
2.587764 14
2.652537 12
2.484907 16
2.340844 19
1.556037 8
1.684545 11
2.239645 12
2.764431 14
2.850128 16
2.965788 12
3.292870 15
2.668616 13
2.668616 12
1.570697 12
0.5877867 18
2.982140 12
2.486572 12
2.384165 11
2.157559 11
2.113843 15
2.278292 12
3.086487 12
2.949688 15
2.368373 15
3.584629 12
2.92047 15
2.100469 12
2.556452 12
2.701361 11
2.839078 15
3.179719 15
1.701105 12
2.512035 15
2.655352 14
2.85647 12
2.664447 12
2.240710 7
2.813611 12
2.692598 16
2.486572 12
2.475698 12
2.630449 12
2.933857 19
2.612273 19
3.001217 17
1.752672 12
1.467874 12
2.410542 12
2.233235 12
2.366498 12
2.312535 12
1.832581 14
2.864484 15
2.008214 12
2.566487 12
2.754934 16
2.543961 15
2.823163 15
1.202972 12
2.439735 13
2.695303 15
2.081938 10
2.256541 12
2.634762 17
4.362971 18
2.522524 17
2.419479 12
1.543298 11
2.486572 12
2.263844 12
2.837908 12
2.151762 12
2.810607 12
2.100469 10
1.665818 10
2.240710 12
2.2895 11
2.392426 12
2.288486 16
3.274878 15
2.766948 16
0.9360934 12
1.978239 17
2.159869 13
2.854169 12
1.449269 12
1.893112 12
1.153732 12
2.157559 17
2.525729 18
2.795450 12
2.418589 12
2.615935 10
2.767576 13
2.211566 15
2.668616 12
2.841415 12
2.301585 12
2.544747 12
2.170196 12
2.070653 8
1.715598 8
1.899118 10
2.223542 10
2.926382 15
2.636912 12
2.996232 16
2.519308 17
2.563410 12
2.379546 16
1.819699 12
2.171337 13
2.089392 12
2.850707 12
2.275214 12
2.796061 16
2.09679 12
2.956472 12
0.4187103 9
0.3506569 8
2.573375 13
2.489065 15
1.890095 12
0.5187938 11
2.735017 12
1.979621 12
2.16791 11
3.54933 12
2.733068 14
2.863343 12
2.296567 12
1.229641 11
3.044046 12
2.892592 15
2.263844 9
2.028148 12
2.425687 12
2.741485 15
2.741485 15
2.207175 15
2.314514 12
2.161022 12
2.608598 12
2.401525 12
2.065596 12
2.208274 12
2.590017 15
3.138966 18
1.724551 20
2.112635 12
2.100469 15
3.705737 12
2.041220 14
